	39
'''	4
(can	1
(default	1
(local	1
(the	1
*	7
->	2
128m)	1
a	10
across	1
actually	1
after	1
allocated	1
amount	1
an	1
and	8
another	1
any	1
appears	1
applicataionmaster	1
application	1
applies	1
architecture	1
are	7
as	3
attempts	1
aware	1
be	2
block	1
blocks	5
blocks,	1
bottleneck.	1
but	1
by	1
can	1
case	1
caution:	1
client	3
cluster	3
clusters.	1
committed	1
common	1
communicate	1
components	1
container	1
core	2
create	1
daemon	1
data	9
datanode:	1
datanodes	3
detanode	1
development	1
different	1
directives	1
directories	2
distributed	1
distributed.	1
do	1
does	1
event	1
executed	1
expedite	1
failover	1
failure.	1
file	1
file,	1
files	3
filesystem	3
filesystem,	1
filesystem.	1
first	1
for	4
from	1
get	2
go	1
goes	1
governs	1
hadoop	3
hadoop,	2
hadoop:	1
having	1
hdfs	12
hdfs,	1
hdfs.	1
held	1
how	1
http://127.0.0.1:50070/dfshealth.html#tab-overview	1
http://127.0.0.1:8088/cluster	1
if	1
immutability	1
in	5
inabilty	1
independently	1
instead,	1
intentionally	1
interacts	1
into	1
is	15
it	5
knowledge	1
lifetime)	1
locality:	1
localjobrunner	1
locally	1
located	1
locations.	1
madatory	1
manage	2
managed	1
many.	1
map	1
master	3
master-slave	1
meaning	1
metadata	1
metadata.	1
minimize	1
misconception	1
more	2
multiple	1
namenode	3
namenode.	1
namenode:	2
namenode’s	1
necessary	1
network.	1
node	4
node(s)	1
nodemanager	2
nodes	2
not	4
nothing:	1
of	9
on	5
once,	1
one	3
one)	1
only	1
only,	1
operate.	1
optional	1
or	5
pertain	1
physical	1
platform	1
possible.	1
predefined,	1
process	5
processes	1
processing	3
provide	1
put	1
read	2
recovery	1
reduce	1
refers	2
related	1
relationship	1
require	1
resourcemanager	2
role	1
run	1
runs	1
secondarynamenode/standby	1
shared	1
sharing	1
slave	3
sourced	1
state	1
static	1
store	1
stored	1
such	1
synchronization	1
system,	1
tasks	1
testing.	1
than	1
that	7
the	26
these	1
this	2
through	1
tip:	1
to	17
transferred	1
trying	1
typically	2
ui)	1
underlying	1
unit	1
update	1
used	1
via	1
virtual	1
whenever	1
which	4
with	2
without	1
worm:	1
would	1
write	1
write.	1
written	1
wth	1
yarn	3
